img_no,x,y,z,img_x,img_y,l2_dlt,l2_opencv
150,2.31963849067688,1.1731510162353516,0.499186247587204,37.0,26.0,30.4138126514911,8.54400374531753
151,2.52354383468628,1.0645400285720823,0.426024466753006,38.0,26.0,4.123105625617661,1.4142135623730951
152,2.467637300491333,1.0962337255477903,0.4301900863647461,39.0,26.0,6.4031242374328485,4.123105625617661
153,2.568022489547729,1.0458433628082275,0.3610941171646118,39.0,27.0,4.0,1.0
154,2.568582057952881,1.0711958408355713,0.4340894222259521,39.0,27.0,6.082762530298219,2.8284271247461903
155,2.568582057952881,1.0711958408355713,0.4340894222259521,39.0,26.0,5.0990195135927845,2.23606797749979
156,2.569283962249756,1.0729587078094482,0.4376982152462005,39.0,26.0,5.0990195135927845,2.23606797749979
157,2.5789592266082764,1.0718921422958374,0.4146498739719391,39.0,26.0,2.23606797749979,2.0
158,2.5601017475128174,1.1027274131774902,0.398778349161148,39.0,26.0,2.23606797749979,3.0
159,2.559581995010376,1.1022933721542358,0.4007070064544678,39.0,26.0,2.0,3.0
160,2.553962469100952,1.0760254859924316,0.3866539299488067,39.0,26.0,2.23606797749979,3.0
161,2.5363845825195312,1.0952632427215576,0.3763378262519836,38.0,27.0,2.23606797749979,3.1622776601683795
162,2.519700050354004,1.0990499258041382,0.3991945087909698,38.0,27.0,2.23606797749979,3.1622776601683795
163,2.519700050354004,1.0990499258041382,0.3991945087909698,38.0,26.0,2.0,3.0
164,2.471189498901367,1.1159946918487549,0.415580540895462,37.0,25.0,2.23606797749979,3.1622776601683795
165,2.4409024715423584,1.08861243724823,0.3897890448570251,37.0,25.0,2.8284271247461903,3.1622776601683795
166,2.4127299785614014,1.0262305736541748,0.4037609100341797,38.0,25.0,1.0,2.0
167,2.396972179412842,1.0381247997283936,0.3852147758007049,38.0,25.0,3.605551275463989,3.1622776601683795
168,2.3753416538238525,0.9901811480522156,0.3740531802177429,39.0,25.0,4.123105625617661,2.23606797749979
169,2.369246482849121,0.9870185256004332,0.3780280351638794,39.0,25.0,3.1622776601683795,2.23606797749979
170,2.369246482849121,0.9870185256004332,0.3780280351638794,39.0,25.0,3.1622776601683795,2.23606797749979
171,2.009588718414306,0.5824689865112305,0.421157032251358,52.0,22.0,6.324555320336759,4.0
172,1.998225212097168,0.5110061764717102,0.4180437922477722,52.0,22.0,6.082762530298219,1.0
173,1.9942841529846191,0.4705447256565094,0.4285550713539123,54.0,21.0,9.486832980505138,1.4142135623730951
174,1.9942841529846191,0.4705447256565094,0.4285550713539123,55.0,21.0,9.219544457292889,2.23606797749979
175,1.9968782663345337,0.4321176707744598,0.4237266778945923,57.0,21.0,8.06225774829855,2.23606797749979
176,2.0000314712524414,0.3719914555549621,0.4138165712356567,59.0,21.0,5.0990195135927845,2.23606797749979
177,2.025779485702514,0.3712685108184814,0.3999377191066742,60.0,21.0,2.23606797749979,3.1622776601683795
178,2.138587236404419,0.5330175161361694,0.4453285038471222,61.0,21.0,11.704699910719626,9.055385138137417
179,2.073065757751465,0.3879629373550415,0.4035719037055969,62.0,22.0,4.242640687119285,5.0990195135927845
180,2.1861114501953125,0.5934819579124451,0.4502623975276947,62.0,22.0,13.892443989449804,12.0
181,2.1025404930114746,0.4223031103610992,0.4106733798980713,61.0,22.0,5.0,5.0990195135927845
182,2.121354341506958,0.450652539730072,0.4029201865196228,60.0,22.0,4.47213595499958,5.0990195135927845
183,2.121354341506958,0.450652539730072,0.4029201865196228,59.0,23.0,4.242640687119285,4.0
184,2.140187740325928,0.5260453820228577,0.4116658568382263,57.0,23.0,5.0,5.0
185,2.140187740325928,0.5260453820228577,0.4116658568382263,56.0,23.0,4.47213595499958,4.0
186,2.152813673019409,0.5658102035522461,0.3934652805328369,55.0,23.0,4.0,5.0
187,2.147921085357666,0.5840640664100647,0.3819484710693359,54.0,23.0,5.385164807134504,4.123105625617661
188,2.145690679550171,0.590719997882843,0.3706983923912048,53.0,23.0,5.830951894845301,4.123105625617661
189,2.141972780227661,0.6268131136894226,0.3750651180744171,52.0,24.0,5.385164807134504,4.0
